Id,na
MSSubClass,cat
MSZoning,cat
LotFrontage,rv
LotArea,rv
Street,cat
Alley,cat
LotShape,ord
LandContour,cat
Utilities,ord
LotConfig,cat
LandSlope,ord
Neighborhood,cat
Condition1,cat
Condition2,cat
BldgType,cat
HouseStyle,cat
OverallQual,ord
OverallCond,ord
YearBuilt,iv
YearRemodAdd,iv
RoofStyle,cat
RoofMatl,cat
Exterior1st,cat
Exterior2nd,cat
MasVnrType,cat
MasVnrArea,rv
ExterQual,ord
ExterCond,ord
Foundation,cat
BsmtQual,ord
BsmtCond,ord
BsmtExposure,ord
BsmtFinType1,ord
BsmtFinSF1,rv
BsmtFinType2,ord
BsmtFinSF2,rv
BsmtUnfSF,rv
TotalBsmtSF,rv
Heating,cat
HeatingQC,ord
CentralAir,bin
Electrical,cat
1stFlrSF,rv
2ndFlrSF,rv
LowQualFinSF,rv
GrLivArea,rv
BsmtFullBath,iv
BsmtHalfBath,iv
FullBath,iv
HalfBath,iv
BedroomAbvGr,iv
KitchenAbvGr,iv
KitchenQual,ord
TotRmsAbvGrd,iv
Functional,ord
Fireplaces,iv
FireplaceQu,ord
GarageType,cat
GarageYrBlt,iv
GarageFinish,ord
GarageCars,iv
GarageArea,rv
GarageQual,ord
GarageCond,ord
PavedDrive,ord
WoodDeckSF,rv
OpenPorchSF,rv
EnclosedPorch,rv
3SsnPorch,rv
ScreenPorch,rv
PoolArea,rv
PoolQC,ord
Fence,cat
MiscFeature,cat
MiscVal,rv
MoSold,cat
YrSold,iv
SaleType,cat
SaleCondition,cat
SalePrice,out
